ID,区域名称,上级区域,是否群组
"""遂宁市""","遂宁市","四川省",0
"""内江市""","内江市","四川省",0
"""乐山市""","乐山市","四川省",0
"""南充市""","南充市","四川省",0
"""眉山市""","眉山市","四川省",0
"""宜宾市""","宜宾市","四川省",0
"""广安市""","广安市","四川省",0
"""达州市""","达州市","四川省",0
"""雅安市""","雅安市","四川省",0
"""巴中市""","巴中市","四川省",0
"""资阳市""","资阳市","四川省",0
"""阿坝藏族羌族自治州""","阿坝藏族羌族自治州","四川省",0
"""甘孜藏族自治州""","甘孜藏族自治州","四川省",0
"""凉山彝族自治州""","凉山彝族自治州","四川省",0
"""贵阳市""","贵阳市","贵州省",0
"""六盘水市""","六盘水市","贵州省",0
"""遵义市""","遵义市","贵州省",0
"""安顺市""","安顺市","贵州省",0
"""毕节市""","毕节市","贵州省",0
"""铜仁市""","铜仁市","贵州省",0
"""黔西南布依族苗族自治州""","黔西南布依族苗族自治州","贵州省",0
"""黔东南苗族侗族自治州""","黔东南苗族侗族自治州","贵州省",0
"""黔南布依族苗族自治州""","黔南布依族苗族自治州","贵州省",0
"""昆明市""","昆明市","云南省",0
"""曲靖市""","曲靖市","云南省",0
"""玉溪市""","玉溪市","云南省",0
"""保山市""","保山市","云南省",0
"""昭通市""","昭通市","云南省",0
"""丽江市""","丽江市","云南省",0
"""普洱市""","普洱市","云南省",0
"""临沧市""","临沧市","云南省",0
"""楚雄彝族自治州""","楚雄彝族自治州","云南省",0
"""红河哈尼族彝族自治州""","红河哈尼族彝族自治州","云南省",0
"""文山壮族苗族自治州""","文山壮族苗族自治州","云南省",0
"""西双版纳傣族自治州""","西双版纳傣族自治州","云南省",0
"""大理白族自治州""","大理白族自治州","云南省",0
"""德宏傣族景颇族自治州""","德宏傣族景颇族自治州","云南省",0
"""怒江傈僳族自治州""","怒江傈僳族自治州","云南省",0
"""迪庆藏族自治州""","迪庆藏族自治州","云南省",0
"""拉萨市""","拉萨市","西藏自治区",0
"""日喀则市""","日喀则市","西藏自治区",0
"""昌都市""","昌都市","西藏自治区",0
"""林芝市""","林芝市","西藏自治区",0
"""山南市""","山南市","西藏自治区",0
"""那曲市""","那曲市","西藏自治区",0
"""阿里地区""","阿里地区","西藏自治区",0
"""西安市""","西安市","陕西省",0
"""铜川市""","铜川市","陕西省",0
"""宝鸡市""","宝鸡市","陕西省",0
"""咸阳市""","咸阳市","陕西省",0
"""渭南市""","渭南市","陕西省",0
"""延安市""","延安市","陕西省",0
"""汉中市""","汉中市","陕西省",0
"""榆林市""","榆林市","陕西省",0
"""安康市""","安康市","陕西省",0
"""商洛市""","商洛市","陕西省",0
"""兰州市""","兰州市","甘肃省",0
"""嘉峪关市""","嘉峪关市","甘肃省",0
"""金昌市""","金昌市","甘肃省",0
"""白银市""","白银市","甘肃省",0
"""天水市""","天水市","甘肃省",0
"""武威市""","武威市","甘肃省",0
"""张掖市""","张掖市","甘肃省",0
"""平凉市""","平凉市","甘肃省",0
"""酒泉市""","酒泉市","甘肃省",0
"""庆阳市""","庆阳市","甘肃省",0
"""定西市""","定西市","甘肃省",0
"""陇南市""","陇南市","甘肃省",0
"""临夏回族自治州""","临夏回族自治州","甘肃省",0
"""甘南藏族自治州""","甘南藏族自治州","甘肃省",0
"""西宁市""","西宁市","青海省",0
"""海东市""","海东市","青海省",0
"""海北藏族自治州""","海北藏族自治州","青海省",0
"""黄南藏族自治州""","黄南藏族自治州","青海省",0
"""海南藏族自治州""","海南藏族自治州","青海省",0
"""果洛藏族自治州""","果洛藏族自治州","青海省",0
"""玉树藏族自治州""","玉树藏族自治州","青海省",0
"""海西蒙古族藏族自治州""","海西蒙古族藏族自治州","青海省",0
"""银川市""","银川市","宁夏回族自治区",0
"""石嘴山市""","石嘴山市","宁夏回族自治区",0
"""吴忠市""","吴忠市","宁夏回族自治区",0
"""固原市""","固原市","宁夏回族自治区",0
"""中卫市""","中卫市","宁夏回族自治区",0
"""乌鲁木齐市""","乌鲁木齐市","新疆维吾尔自治区",0
"""克拉玛依市""","克拉玛依市","新疆维吾尔自治区",0
"""吐鲁番市""","吐鲁番市","新疆维吾尔自治区",0
"""哈密市""","哈密市","新疆维吾尔自治区",0
"""昌吉回族自治州""","昌吉回族自治州","新疆维吾尔自治区",0
"""博尔塔拉蒙古自治州""","博尔塔拉蒙古自治州","新疆维吾尔自治区",0
"""巴音郭楞蒙古自治州""","巴音郭楞蒙古自治州","新疆维吾尔自治区",0
"""阿克苏地区""","阿克苏地区","新疆维吾尔自治区",0
"""克孜勒苏柯尔克孜自治州""","克孜勒苏柯尔克孜自治州","新疆维吾尔自治区",0
"""喀什地区""","喀什地区","新疆维吾尔自治区",0
"""和田地区""","和田地区","新疆维吾尔自治区",0
"""伊犁哈萨克自治州""","伊犁哈萨克自治州","新疆维吾尔自治区",0
"""塔城地区""","塔城地区","新疆维吾尔自治区",0
"""阿勒泰地区""","阿勒泰地区","新疆维吾尔自治区",0
"""石河子市""","石河子市","新疆维吾尔自治区",0
"""阿拉尔市""","阿拉尔市","新疆维吾尔自治区",0
"""图木舒克市""","图木舒克市","新疆维吾尔自治区",0
"""五家渠市""","五家渠市","新疆维吾尔自治区",0
"""北屯市""","北屯市","新疆维吾尔自治区",0
"""铁门关市""","铁门关市","新疆维吾尔自治区",0
"""双河市""","双河市","新疆维吾尔自治区",0
"""可克达拉市""","可克达拉市","新疆维吾尔自治区",0
"""昆玉市""","昆玉市","新疆维吾尔自治区",0
"""胡杨河市""","胡杨河市","新疆维吾尔自治区",0
"""新星市""","新星市","新疆维吾尔自治区",0
"""台北市""","台北市","台湾省",0
"""高雄市""","高雄市","台湾省",0
"""台南市""","台南市","台湾省",0
"""台中市""","台中市","台湾省",0
"""南投县""","南投县","台湾省",0
"""基隆市""","基隆市","台湾省",0
"""新竹市""","新竹市","台湾省",0
"""嘉义市""","嘉义市","台湾省",0
"""新北市""","新北市","台湾省",0
"""宜兰县""","宜兰县","台湾省",0
"""新竹县""","新竹县","台湾省",0
"""桃园市""","桃园市","台湾省",0
"""苗栗县""","苗栗县","台湾省",0
"""彰化县""","彰化县","台湾省",0
"""嘉义县""","嘉义县","台湾省",0
"""云林县""","云林县","台湾省",0
"""屏东县""","屏东县","台湾省",0
"""台东县""","台东县","台湾省",0
"""花莲县""","花莲县","台湾省",0
"""澎湖县""","澎湖县","台湾省",0
